,State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Andhra Pradesh,19657.4362,757.8799099999997,908.5070599999999,2662.661049999999,4019.4914400000016,12578.376380000002,15682.916829999998,19739.00652,20351.526089999996,22656.672839999996,25065.389360000005,62178.886679999996,62018.99891000001,66039.32295,74245.73804,83785.9581,94646.28540000001,106709.5517
1,Arunachal Pradesh,18567.39195,2606.1930699999975,1394.508719999998,3295.8822800000016,5816.337029999999,15311.4244,16326.23144,19620.234010000004,21815.23527,24166.390779999998,24993.22854,73560.42533999999,73248.30828999999,78574.56207999999,92344.51125,89054.47284999999,90897.39695,..
2,Assam,14693.149630000002,96.79747999999745,737.785689999997,1449.601319999998,1769.5051999999978,5433.6440600000005,6058.105869999998,6660.139000000001,7643.4597699999995,9395.258119999997,10268.796379999998,33873.05069,34424.95602,36068.97964,38201.42436,45087.05242,47181.30702,..
3,Bihar,8091.497147,-691.369912000001,128.39726899999914,-539.5154489999995,269.14042999999947,1679.0100949999996,1277.1404060000004,2722.3100030000005,3106.541653,4621.622273000001,5038.637933,18760.636543,19318.018583000005,20028.037953,20579.124213000003,21522.381283000002,23945.998973,27075.895272999995
4,Chhattisgarh,12893.53887,1662.989739999999,1083.2099600000001,3403.5220499999978,3891.4437199999993,9246.75459,9212.218689999998,12850.166839999998,14459.75186,15649.32188,15963.14403,52930.33712,54838.78679,60364.65032999999,60051.3471,63207.14642999999,68611.007,72499.46455
5,Goa,46768.48819,419.8356100000019,1934.8424300000042,3858.889080000001,7682.99179,45556.62903999999,50206.59879,56699.110210000006,57692.70371000001,61679.99231000001,67571.14911,264442.46371,217151.36651000002,179172.15611,242416.06160999998,287421.80491,323674.17300999997,..
6,Gujarat,19647.2649,1109.6992400000017,2602.6039600000004,5884.941480000001,6978.67382,16872.1125,21527.099580000006,24338.844119999998,28820.932989999998,30175.018380000005,36428.49411,80123.72814,90618.7967,97354.6861,107369.3263,117991.22620000002,130730.03550000001,..
7,Haryana,29174.563739999998,1451.381690000002,2777.3353300000017,5234.530500000001,7486.262580000002,16184.606780000002,19356.83449,23891.0167,27024.186370000003,30290.638,36578.95713000001,97549.20896,104194.81496,113601.04056000001,119310.22236,130407.51716,141899.05796,..
8,Himachal Pradesh,25568.71568,842.3710899999969,1651.9377399999976,2991.0617300000013,5178.4147399999965,13501.532019999999,16381.16951,19180.424400000004,21462.688839999995,23246.187439999994,25386.23702,77204.06472,83005.06922,90202.30152000001,97730.71582000001,106495.77132,114303.01192000002,121590.81832000002
9,Jammu & Kashmir,16724.8436,-90.50892999999996,581.6707300000016,1193.5110999999997,1876.5518300000003,9503.437730000001,10314.39775,11483.773130000001,12805.20352,14218.349619999997,15276.700719999997,47443.57468,46517.97002000001,48547.783639999994,44488.1564,55590.58522999999,58270.85636,..
